country,region,Absolute values,Warming since 1960(°C / century)
Afghanistan,Asia,14.02,3.32 ± 0.34
Åland,Europe,5.42,3.01 ± 0.24
Albania,Europe,12.93,1.97 ± 0.28
Algeria,Africa,23.21,2.86 ± 0.28
American Samoa,,26.68,1.43 ± 0.57
Andorra,Europe,11.2,2.75 ± 0.29
Angola,Africa,21.88,1.61 ± 0.34
Anguilla,,26.83,1.91 ± 0.31
Antarctica,,-25.07,1.05 ± 0.76
Antigua and Barbuda,,26.59,1.86 ± 0.28
Argentina,South America,14.75,1.11 ± 0.26
Armenia,Asia,7.78,2.38 ± 0.29
Aruba,South America,28.34,1.31 ± 0.34
Australia,Oceania,21.72,1.40 ± 0.25
Austria,Europe,6.15,2.90 ± 0.28
Azerbaijan,Asia,11.34,2.57 ± 0.35
Bahamas,North America,25.3,1.53 ± 0.29
Bahrain,Asia,26.08,3.13 ± 0.55
Baker Island,Asia,26.61,1.22 ± 0.17
Bangladesh,Asia,25.04,0.90 ± 0.41
Barbados,,26.57,1.66 ± 0.32
Belarus,Europe,5.96,3.16 ± 0.21
Belgium,Europe,9.4,2.84 ± 0.20
Belize,North America,25.4,1.23 ± 0.26
Benin,Africa,27.21,1.82 ± 0.42
Bhutan,Asia,12.04,1.25 ± 0.60
Bolivia,South America,20.82,0.65 ± 0.29
"Bonaire, Saint Eustatius and Saba",South America,27.52,1.43 ± 0.34
Bosnia and Herzegovina,Europe,10.1,2.61 ± 0.30
Botswana,Africa,21.63,1.38 ± 0.29
Brazil,South America,24.98,1.70 ± 0.17
British Virgin Islands,,26.62,1.88 ± 0.30
Bulgaria,Europe,10.76,2.01 ± 0.25
Burkina Faso,Africa,28.2,1.79 ± 0.34
Burma,Asia,23.99,0.99 ± 0.30
Burundi,Africa,20.1,1.90 ± 0.24
Cambodia,Asia,26.91,1.05 ± 0.27
Cameroon,Africa,24.5,1.61 ± 0.41
Canada,North America,-4.89,3.64 ± 0.24
Cape Verde,,24.2,2.09 ± 0.57
Cayman Islands,,26.9,1.47 ± 0.30
Central African Republic,Africa,25.28,1.78 ± 0.33
Chad,Africa,26.38,2.07 ± 0.60
Chile,South America,9.38,0.96 ± 0.37
China,Asia,6.79,2.09 ± 0.23
Christmas Island,,25.93,1.60 ± 0.27
Colombia,South America,24.84,1.23 ± 0.22
Comoros,,25.79,1.92 ± 0.32
Congo,Africa,24.56,1.47 ± 0.43
Congo (Democratic Republic of the),Africa,23.85,1.70 ± 0.23
Costa Rica,North America,25.87,1.60 ± 0.45
Côte d'Ivoire,Africa,26.07,1.80 ± 0.29
Croatia,Europe,10.85,2.82 ± 0.31
Cuba,North America,25.46,1.46 ± 0.25
Curaçao,South America,27.64,1.32 ± 0.37
Cyprus,Asia,19.23,1.92 ± 0.33
Czech Republic,Europe,7.72,2.73 ± 0.26
Denmark,North America,-18.59,3.56 ± 0.74
Denmark (Europe),Europe,7.92,2.86 ± 0.23
Djibouti,Africa,28.33,2.29 ± 0.44
Dominica,North America,26.22,1.75 ± 0.31
Dominican Republic,North America,25.68,1.67 ± 0.33
Ecuador,South America,21.57,1.31 ± 0.36
Egypt,Africa,22.93,2.03 ± 0.33
El Salvador,North America,25.55,1.41 ± 0.30
Equatorial Guinea,Africa,24.96,1.48 ± 0.39
Eritrea,Africa,26.89,2.29 ± 0.39
Estonia,Europe,4.89,3.01 ± 0.27
Ethiopia,Africa,22.87,2.19 ± 0.25
Falkland Islands (Islas Malvinas),South America,6.17,1.37 ± 0.38
Faroe Islands,,7.05,1.74 ± 0.63
Federated States of Micronesia,,26.86,1.79 ± 0.51
Fiji,Oceania,25.13,1.30 ± 0.44
Finland,Europe,1.26,3.03 ± 0.27
France,,12.96,2.60 ± 0.21
France (Europe),Europe,10.55,2.77 ± 0.22
French Guiana,South America,25.98,1.85 ± 0.22
French Polynesia,,26.2,1.58 ± 0.46
French Southern and Antarctic Lands,,4.64,1.67 ± 0.67
Gabon,Africa,24.58,1.47 ± 0.45
Gambia,Africa,27.37,1.86 ± 0.39
Gaza Strip,Asia,19.1,2.05 ± 0.21
Georgia,Asia,8.22,2.10 ± 0.26
Germany,Europe,8.11,2.81 ± 0.21
Ghana,Africa,26.82,1.75 ± 0.37
Greece,Europe,14.83,1.78 ± 0.27
Greenland,North America,-19.33,3.57 ± 0.75
Grenada,,26.88,1.62 ± 0.33
Guadeloupe,North America,26.53,1.83 ± 0.28
Guam,,27.01,1.24 ± 0.33
Guatemala,North America,23.57,1.22 ± 0.30
Guernsey,Europe,11.09,2.50 ± 0.28
Guinea,Africa,25.69,1.80 ± 0.27
Guinea-Bissau,Africa,27.42,1.85 ± 0.37
Guyana,South America,26.1,1.62 ± 0.28
Haiti,North America,26.57,1.54 ± 0.30
Heard Island and McDonald Islands,,2.39,1.49 ± 0.60
Honduras,North America,24.91,1.44 ± 0.27
Hungary,Europe,9.87,2.55 ± 0.23
Iceland,Europe,1.44,2.37 ± 0.44
