country,1960,1965,1975,1980,1985,1990,1995,2000,2005,2010,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,8996967,9956318,12689164,13356500,11938204,12412311,18110662,20779957,25654274,29185511,34413603,35383028,36296111,37171922,38041757,38928341,39805751,40683694
Albania,1608800,1864791,2404831,2671997,2964762,3286542,3187784,3089027,3011487,2913021,2880703,2876101,2873457,2866376,2854191,2837743,2825838,2812325
Algeria,11057864,12550880,16607706,19221659,22431507,25758872,28757788,31042238,33149720,35977451,39728020,40551398,41389174,42228415,43053054,43851043,44671666,45486083
American Samoa,20127,23675,30045,32648,39521,47351,53158,57816,59557,56084,55806,55739,55617,55461,55312,55197,55057,54922
Andorra,13410,18542,30705,36063,44593,54508,63860,65390,78871,84454,77993,77295,76997,77008,77146,77265,77354,77469
Angola,5454938,5770573,7023994,8341290,9961993,11848385,13945205,16395477,19433604,23356247,27884380,28842482,29816769,30809787,31825299,32866268,33882768,34907095
Antigua and Barbuda,54132,58699,62671,61861,61785,62533,68672,76007,81462,88030,93571,94520,95425,96282,97115,97928,98762,99589
Argentina,20481781,22159644,25865775,27896532,30216284,32618648,34828168,36870796,38892924,40788453,43131966,43590368,44044811,44494502,44938712,45376763,45820747,46262829
Armenia,1874119,2211316,2832752,3099759,3335935,3538164,3217349,3069597,2981262,2877314,2925559,2936147,2944789,2951741,2957728,2963234,2969382,2975262
Aruba,54208,57357,60653,60097,63024,62152,80324,90866,100028,101665,104339,104865,105361,105846,106310,106766,107234,107697
Australia,10276477,11388000,13893000,14692000,15758000,17065100,18072000,19153000,20394800,22031750,23815995,24190907,24601860,24982688,25365745,25687041,26048768,26404128
Austria,7047539,7270889,7578903,7549433,7564985,7677850,7948278,8011566,8227829,8363404,8642699,8736668,8797566,8840521,8879920,8917205,8957085,8995940
Azerbaijan,3895398,4592601,5674129,6150735,6666447,7175200,7684850,8048600,8391850,9054332,9649341,9757812,9854033,9939771,10024283,10093121,10172817,10250499
Bahamas,109532,140060,188895,210589,234579,256227,280179,298045,324848,354936,374200,377923,381749,385635,389486,393248,397081,400896
Bahrain,162429,187432,266540,359897,419428,495927,563698,664610,889157,1240864,1371853,1425793,1494077,1569440,1641164,1701583,1770752,1837856
Bangladesh,48013505,55385114,70066310,79639498,90764180,103171957,115169933,127657862,139035505,147575433,156256287,157977151,159685421,161376713,163046173,164689383,166357370,168017589
Barbados,230985,235415,246158,252388,256260,260933,265955,271511,276320,282131,285327,285798,286229,286640,287021,287371,287752,288123
Belarus,8198000,8610000,9367000,9643000,9975000,10189348,10193831,9979610,9663915,9483836,9461076,9469379,9458989,9438785,9419758,9379952,9353606,9325213
Belgium,9153489,9463667,9800700,9859242,9858308,9967379,10136811,10251250,10478617,10895586,11274196,11331422,11375158,11427054,11488980,11555997,11616277,11679351
Belize,92068,106120,133264,144142,164918,187554,206962,247310,283798,322465,360926,368399,375775,383071,390351,397621,404903,412180
Benin,2431617,2632361,3265167,3717161,4278502,4978489,5905552,6865946,7982223,9199254,10575962,10872072,11175192,11485035,11801151,12123198,12439200,12757255
Bermuda,44400,50100,53000,54670,56898,59326,59746,61833,64154,65124,65237,64554,63873,63919,63913,63903,63913,63911
Bhutan,223284,253993,348395,406883,464264,530801,534629,591014,648744,685502,727885,736706,745563,754396,763094,771612,780295,788928
