Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1848,5,-0.297,2.037,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,6,-0.796,2.136,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1848,7,-0.113,1.937,-0.777,0.639,NaN,NaN,NaN,NaN,NaN,NaN
1848,8,-0.462,1.937,-0.743,0.644,NaN,NaN,NaN,NaN,NaN,NaN
1848,9,-1.272,1.865,-0.676,0.669,NaN,NaN,NaN,NaN,NaN,NaN
1848,10,-0.934,1.88,-0.712,0.687,NaN,NaN,NaN,NaN,NaN,NaN
1848,11,-0.769,1.835,-0.723,0.663,NaN,NaN,NaN,NaN,NaN,NaN
1848,12,-1.842,2.034,-0.742,0.663,NaN,NaN,NaN,NaN,NaN,NaN
1849,1,-0.095,2.55,-0.731,0.685,NaN,NaN,NaN,NaN,NaN,NaN
1849,2,-0.56,2.098,-0.704,0.711,NaN,NaN,NaN,NaN,NaN,NaN
1849,3,-0.367,2.068,-0.718,0.714,NaN,NaN,NaN,NaN,NaN,NaN
1849,4,-1.041,2.307,-0.688,0.713,NaN,NaN,NaN,NaN,NaN,NaN
1849,5,-0.427,1.894,-0.706,0.739,NaN,NaN,NaN,NaN,NaN,NaN
1849,6,-1.016,1.976,-0.699,0.676,NaN,NaN,NaN,NaN,NaN,NaN
1849,7,0.012,2.05,-0.855,0.641,NaN,NaN,NaN,NaN,NaN,NaN
1849,8,-0.141,1.952,-0.837,0.65,NaN,NaN,NaN,NaN,NaN,NaN
1849,9,-1.431,1.843,-0.811,0.661,NaN,NaN,NaN,NaN,NaN,NaN
1849,10,-0.584,1.845,-0.818,0.718,NaN,NaN,NaN,NaN,NaN,NaN
1849,11,-0.98,2.247,-0.874,0.71,NaN,NaN,NaN,NaN,NaN,NaN
1849,12,-1.756,2.012,-0.871,0.718,NaN,NaN,NaN,NaN,NaN,NaN
1850,1,-1.974,2.264,-0.835,0.689,NaN,NaN,NaN,NaN,NaN,NaN
1850,2,-0.341,2.455,-0.846,0.676,NaN,NaN,NaN,NaN,NaN,NaN
1850,3,-0.05,2.216,-0.77,0.683,NaN,NaN,NaN,NaN,NaN,NaN
1850,4,-1.129,1.849,-0.848,0.683,NaN,NaN,NaN,NaN,NaN,NaN
1850,5,-1.095,1.825,-0.816,0.693,NaN,NaN,NaN,NaN,NaN,NaN
1850,6,-0.991,1.885,-0.744,0.734,NaN,NaN,NaN,NaN,NaN,NaN
