Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1750,1,-1.49,1.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,-1.535,2.115,-0.739,0.784,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,NaN,NaN,-0.725,0.797,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.322,1.786,-0.665,0.797,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-1.691,1.809,-0.875,0.8,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,-0.045,1.857,-0.841,0.807,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,0.486,1.895,-0.891,0.812,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.566,1.821,-1.03,0.785,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,NaN,NaN,-1.073,0.761,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-0.77,1.781,-1.233,0.755,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-3.9,1.829,-1.178,0.735,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.997,1.93,-1.24,0.736,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-2.088,1.942,-1.166,0.709,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-3.207,1.916,-1.138,0.707,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,0.866,1.816,-1.124,0.697,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.604,1.778,-1.18,0.701,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-1.03,1.822,-1.156,0.713,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.781,1.861,-1.136,0.731,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,1.371,1.877,-1.139,0.743,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,0.904,1.784,-0.754,0.737,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-0.254,1.756,-0.801,0.741,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,-1.441,1.817,-0.77,0.722,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-3.614,1.853,-0.74,0.705,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,-2.749,2.103,-0.562,0.69,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-2.129,2.06,-0.609,0.696,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,1.414,1.907,-0.792,0.708,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,0.305,1.76,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-1.235,1.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,-0.668,1.782,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,1.349,1.751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,0.816,1.827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,-1.302,1.93,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,-0.443,1.793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,11,-0.666,1.832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,12,-1.663,1.988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,1,-1.497,1.869,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,2,-1.691,1.793,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,3,0.874,1.739,-0.415,0.764,NaN,NaN,NaN,NaN,NaN,NaN
1753,4,0.083,1.827,-0.407,0.763,NaN,NaN,NaN,NaN,NaN,NaN
1753,5,0.172,1.696,-0.504,0.758,NaN,NaN,NaN,NaN,NaN,NaN
1753,6,0.865,1.837,-0.595,0.76,NaN,NaN,NaN,NaN,NaN,NaN
1753,7,0.551,1.876,-0.569,0.766,NaN,NaN,NaN,NaN,NaN,NaN
1753,8,-0.788,1.761,-0.687,0.76,NaN,NaN,NaN,NaN,NaN,NaN
1753,9,-0.775,1.728,-0.971,0.748,NaN,NaN,NaN,NaN,NaN,NaN
1753,10,-0.344,1.73,-0.835,0.77,NaN,NaN,NaN,NaN,NaN,NaN
1753,11,-1.834,1.747,-0.788,0.785,NaN,NaN,NaN,NaN,NaN,NaN
1753,12,-2.758,2.169,-0.781,0.774,NaN,NaN,NaN,NaN,NaN,NaN
1754,1,-1.179,1.827,-0.806,0.773,NaN,NaN,NaN,NaN,NaN,NaN
1754,2,-3.115,1.778,-0.765,0.779,NaN,NaN,NaN,NaN,NaN,NaN
1754,3,-2.532,1.693,-0.782,0.781,NaN,NaN,NaN,NaN,NaN,NaN
1754,4,1.718,1.86,-0.676,0.784,NaN,NaN,NaN,NaN,NaN,NaN
1754,5,0.741,1.756,-0.512,0.803,NaN,NaN,NaN,NaN,NaN,NaN
1754,6,0.948,1.778,-0.324,0.778,NaN,NaN,NaN,NaN,NaN,NaN
1754,7,0.248,1.918,-0.451,0.775,NaN,NaN,NaN,NaN,NaN,NaN
1754,8,-0.301,1.805,-0.502,0.79,NaN,NaN,NaN,NaN,NaN,NaN
1754,9,-0.974,1.745,-0.365,0.785,NaN,NaN,NaN,NaN,NaN,NaN
1754,10,0.924,1.844,-0.313,0.813,NaN,NaN,NaN,NaN,NaN,NaN
1754,11,0.138,2.256,-0.346,0.786,NaN,NaN,NaN,NaN,NaN,NaN
1754,12,-0.509,1.879,-0.268,0.797,NaN,NaN,NaN,NaN,NaN,NaN
1755,1,-2.699,1.827,-0.252,0.82,NaN,NaN,NaN,NaN,NaN,NaN
1755,2,-3.729,1.961,-0.348,0.81,NaN,NaN,NaN,NaN,NaN,NaN
1755,3,-0.886,1.782,-0.38,0.806,-0.299,0.497,NaN,NaN,NaN,NaN
1755,4,2.342,2.117,-0.376,0.773,-0.348,0.487,NaN,NaN,NaN,NaN
1755,5,0.347,1.717,-0.559,0.808,-0.377,0.493,NaN,NaN,NaN,NaN
1755,6,1.883,1.953,-0.599,0.781,-0.39,0.488,NaN,NaN,NaN,NaN
1755,7,0.444,2.356,-0.374,0.803,-0.436,0.484,NaN,NaN,NaN,NaN
1755,8,-1.461,1.867,0.062,0.769,-0.462,0.487,NaN,NaN,NaN,NaN
1755,9,-1.359,1.72,0.153,0.738,-0.489,0.49,NaN,NaN,NaN,NaN
1755,10,0.98,1.674,-0.042,0.72,-0.501,0.492,NaN,NaN,NaN,NaN
1755,11,-2.057,2.139,-0.03,0.712,-0.533,0.502,NaN,NaN,NaN,NaN
1755,12,-0.998,1.874,-0.088,0.716,-0.547,0.507,NaN,NaN,NaN,NaN
1756,1,0.004,2.008,-0.138,0.746,-0.579,0.506,NaN,NaN,NaN,NaN
1756,2,1.503,4.116,-0.004,0.731,-0.602,0.512,NaN,NaN,NaN,NaN
1756,3,0.205,2.846,0.085,0.743,-0.625,0.51,NaN,NaN,NaN,NaN
1756,4,0.001,2.348,-0.058,0.758,-0.666,0.506,NaN,NaN,NaN,NaN
1756,5,0.496,4.339,-0.122,0.767,-0.647,0.504,NaN,NaN,NaN,NaN
1756,6,1.19,2.042,-0.224,0.753,-0.613,0.503,NaN,NaN,NaN,NaN
1756,7,-0.159,6.468,-0.433,0.731,-0.571,0.505,NaN,NaN,NaN,NaN
1756,8,0.143,2.064,-0.518,0.722,-0.5,0.504,NaN,NaN,NaN,NaN
1756,9,-0.295,1.933,-0.583,0.735,-0.461,0.51,NaN,NaN,NaN,NaN
1756,10,-0.736,6.788,-0.531,0.726,-0.504,0.514,NaN,NaN,NaN,NaN
1756,11,-2.819,1.725,-0.489,0.775,-0.54,0.513,NaN,NaN,NaN,NaN
1756,12,-2.224,1.873,-0.404,0.745,-0.548,0.507,NaN,NaN,NaN,NaN
1757,1,-2.501,1.879,-0.164,0.747,-0.554,0.513,NaN,NaN,NaN,NaN
1757,2,0.479,2.337,-0.02,0.749,-0.553,0.51,NaN,NaN,NaN,NaN
1757,3,-0.576,3.44,-0.001,0.731,-0.541,0.509,NaN,NaN,NaN,NaN
1757,4,0.626,2.332,-0.222,0.712,-0.567,0.513,NaN,NaN,NaN,NaN
1757,5,0.999,2.302,-0.188,0.724,-0.632,0.516,NaN,NaN,NaN,NaN
1757,6,2.212,1.969,-0.206,0.724,-0.664,0.512,NaN,NaN,NaN,NaN
1757,7,2.721,2.834,-0.355,1.038,-0.658,0.52,NaN,NaN,NaN,NaN
1757,8,1.874,3.834,-0.665,0.902,-0.621,0.526,NaN,NaN,NaN,NaN
1757,9,-0.065,5.563,-0.68,0.768,-0.644,0.531,-0.61,0.567,NaN,NaN
1757,10,-3.393,4.57,-0.785,0.713,-0.674,0.534,-0.618,0.564,NaN,NaN
1757,11,-2.405,6.686,-1.013,0.701,-0.687,0.541,-0.617,0.567,NaN,NaN
1757,12,-2.439,1.919,-1.193,0.755,-0.721,0.539,-0.631,0.56,NaN,NaN
