Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1855,5,-0.477,1.509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,6,-1.069,1.874,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,7,-1.121,1.55,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,8,-0.564,1.445,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1855,9,-0.971,1.437,-0.964,0.691,NaN,NaN,NaN,NaN,NaN,NaN
1855,10,-1.377,1.485,-1.051,0.741,NaN,NaN,NaN,NaN,NaN,NaN
1855,11,-1.086,1.443,-1.152,0.804,NaN,NaN,NaN,NaN,NaN,NaN
1855,12,-2.491,1.758,-1.011,0.78,NaN,NaN,NaN,NaN,NaN,NaN
1856,1,-0.1,1.259,-0.942,0.744,NaN,NaN,NaN,NaN,NaN,NaN
1856,2,-1.384,1.68,-0.983,0.806,NaN,NaN,NaN,NaN,NaN,NaN
1856,3,-1.384,1.847,-0.997,0.857,NaN,NaN,NaN,NaN,NaN,NaN
1856,4,-0.589,1.711,-0.97,0.849,NaN,NaN,NaN,NaN,NaN,NaN
1856,5,-1.694,1.605,-0.895,0.871,NaN,NaN,NaN,NaN,NaN,NaN
1856,6,0.626,1.655,-0.736,0.843,NaN,NaN,NaN,NaN,NaN,NaN
1856,7,-0.288,1.591,-0.77,0.755,-0.679,0.558,NaN,NaN,NaN,NaN
1856,8,-1.063,1.695,-0.757,0.702,-0.68,0.537,NaN,NaN,NaN,NaN
1856,9,-1.141,1.504,-0.655,0.753,-0.675,0.524,NaN,NaN,NaN,NaN
1856,10,-1.047,1.343,-0.748,0.773,-0.661,0.514,NaN,NaN,NaN,NaN
1856,11,-0.182,1.444,-0.693,0.828,-0.651,0.515,NaN,NaN,NaN,NaN
1856,12,-0.587,1.43,-0.661,0.892,-0.628,0.513,NaN,NaN,NaN,NaN
1857,1,-0.513,1.688,-0.613,0.961,-0.615,0.514,NaN,NaN,NaN,NaN
1857,2,-1.227,1.532,-0.577,1.01,-0.617,0.523,NaN,NaN,NaN,NaN
1857,3,-0.153,2.424,-0.54,1.077,-0.62,0.527,NaN,NaN,NaN,NaN
1857,4,-1.713,1.965,-0.569,1.14,-0.618,0.513,NaN,NaN,NaN,NaN
1857,5,-1.023,1.761,-0.519,1.186,-0.623,0.501,NaN,NaN,NaN,NaN
1857,6,1.001,2.026,-0.547,1.182,-0.625,0.493,NaN,NaN,NaN,NaN
1857,7,0.293,2.084,-0.487,1.401,-0.624,0.486,NaN,NaN,NaN,NaN
1857,8,-0.633,2.196,-0.398,1.559,-0.63,0.482,NaN,NaN,NaN,NaN
1857,9,-0.699,2.253,-0.433,1.431,-0.649,0.474,NaN,NaN,NaN,NaN
1857,10,-1.394,2.022,-0.24,1.363,-0.664,0.461,-0.649,0.369,NaN,NaN
1857,11,0.415,1.591,-0.251,1.263,-0.683,0.452,-0.647,0.371,NaN,NaN
1857,12,-0.923,1.364,-0.393,1.167,-0.676,0.439,-0.659,0.367,NaN,NaN
1858,1,0.209,2.504,-0.559,1.108,-0.652,0.431,-0.66,0.364,NaN,NaN
1858,2,-0.159,1.865,-0.495,0.987,-0.633,0.42,-0.66,0.364,NaN,NaN
1858,3,-0.57,1.255,-0.432,0.948,-0.613,0.412,-0.663,0.364,NaN,NaN
1858,4,0.598,1.312,-0.453,0.919,-0.598,0.408,-0.665,0.366,NaN,NaN
1858,5,-1.146,1.31,-0.626,0.735,-0.602,0.406,-0.675,0.365,NaN,NaN
1858,6,-0.712,1.285,-0.729,0.64,-0.592,0.409,-0.683,0.368,NaN,NaN
1858,7,-1.699,1.671,-0.894,0.546,-0.617,0.404,-0.696,0.369,NaN,NaN
1858,8,0.134,1.574,-0.996,0.554,-0.603,0.413,-0.706,0.37,NaN,NaN
1858,9,0.063,1.973,-0.988,0.586,-0.592,0.411,-0.71,0.371,NaN,NaN
