Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1824,1,-0.393,0.734,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1824,2,-0.912,2.212,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1824,3,-0.162,1.019,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1824,4,0.067,1.914,-0.677,0.526,NaN,NaN,NaN,NaN,NaN,NaN
1824,5,-0.341,1.459,-0.569,0.49,NaN,NaN,NaN,NaN,NaN,NaN
1824,6,NaN,NaN,-0.386,0.492,NaN,NaN,NaN,NaN,NaN,NaN
1824,7,0.369,1.25,-0.357,0.565,NaN,NaN,NaN,NaN,NaN,NaN
1824,8,-0.713,2.033,-0.311,0.508,NaN,NaN,NaN,NaN,NaN,NaN
1824,9,-1.004,1.668,-0.294,0.546,NaN,NaN,NaN,NaN,NaN,NaN
1824,10,-1.251,0.809,-0.242,0.668,NaN,NaN,NaN,NaN,NaN,NaN
1824,11,-0.493,1.636,-0.218,0.734,NaN,NaN,NaN,NaN,NaN,NaN
1824,12,0.2,2.257,-0.199,0.762,NaN,NaN,NaN,NaN,NaN,NaN
1825,1,-0.049,2.058,-0.23,0.899,NaN,NaN,NaN,NaN,NaN,NaN
1825,2,-0.361,1.451,-0.222,0.887,NaN,NaN,NaN,NaN,NaN,NaN
1825,3,0.042,1.511,-0.245,0.956,NaN,NaN,NaN,NaN,NaN,NaN
1825,4,0.69,1.844,-0.234,1,NaN,NaN,NaN,NaN,NaN,NaN
1825,5,-0.058,1.289,-0.2,1.075,NaN,NaN,NaN,NaN,NaN,NaN
1825,6,0.244,0.804,-0.267,1.018,NaN,NaN,NaN,NaN,NaN,NaN
1825,7,-0.007,2.52,-0.343,1.024,-0.457,0.442,NaN,NaN,NaN,NaN
1825,8,-0.619,2.042,-0.405,0.937,-0.445,0.436,NaN,NaN,NaN,NaN
1825,9,-1.28,1.216,-0.458,0.858,-0.439,0.416,NaN,NaN,NaN,NaN
1825,10,-1.117,1.289,-0.507,0.752,-0.422,0.401,NaN,NaN,NaN,NaN
1825,11,-0.083,2.658,-0.486,0.78,-0.41,0.399,NaN,NaN,NaN,NaN
1825,12,-0.613,1.352,-0.552,0.769,-0.412,0.398,NaN,NaN,NaN,NaN
1826,1,NaN,NaN,-0.545,0.673,-0.409,0.401,NaN,NaN,NaN,NaN
1826,2,-1.107,1.265,-0.578,0.603,-0.399,0.401,NaN,NaN,NaN,NaN
1826,3,-0.594,1.334,-0.578,0.545,-0.395,0.412,NaN,NaN,NaN,NaN
1826,4,0.1,1.754,-0.564,0.556,-0.379,0.41,NaN,NaN,NaN,NaN
