Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1873,7,0.164,1.389,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,8,-0.16,1.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,9,0.26,1.042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1873,10,-0.562,1.071,-0.227,0.516,NaN,NaN,NaN,NaN,NaN,NaN
1873,11,NaN,NaN,-0.249,0.506,NaN,NaN,NaN,NaN,NaN,NaN
1873,12,0.161,1.091,-0.285,0.505,NaN,NaN,NaN,NaN,NaN,NaN
1874,1,-0.819,1.102,-0.328,0.483,NaN,NaN,NaN,NaN,NaN,NaN
1874,2,-0.602,1.095,-0.366,0.486,NaN,NaN,NaN,NaN,NaN,NaN
1874,3,-1.187,1.062,-0.367,0.5,NaN,NaN,NaN,NaN,NaN,NaN
1874,4,0.046,1.005,-0.354,0.511,NaN,NaN,NaN,NaN,NaN,NaN
1874,5,-0.39,1.225,-0.343,0.5,NaN,NaN,NaN,NaN,NaN,NaN
1874,6,NaN,NaN,-0.414,0.505,NaN,NaN,NaN,NaN,NaN,NaN
1874,7,-0.344,1.017,-0.452,0.512,NaN,NaN,NaN,NaN,NaN,NaN
1874,8,-0.624,1.017,-0.482,0.481,NaN,NaN,NaN,NaN,NaN,NaN
1874,9,0.248,1.025,-0.441,0.496,NaN,NaN,NaN,NaN,NaN,NaN
1874,10,-0.404,1.238,-0.487,0.503,NaN,NaN,NaN,NaN,NaN,NaN
1874,11,-0.61,1.093,-0.502,0.512,NaN,NaN,NaN,NaN,NaN,NaN
1874,12,-0.694,1.113,-0.564,0.499,NaN,NaN,NaN,NaN,NaN,NaN
1875,1,-1.273,1.089,-0.549,0.538,NaN,NaN,NaN,NaN,NaN,NaN
1875,2,-0.961,1.291,-0.556,0.562,NaN,NaN,NaN,NaN,NaN,NaN
1875,3,-0.692,1.013,-0.603,0.59,-0.43,0.364,NaN,NaN,NaN,NaN
1875,4,-0.504,1.052,-0.653,0.545,-0.427,0.366,NaN,NaN,NaN,NaN
1875,5,-0.575,1.057,-0.715,0.537,-0.411,0.366,NaN,NaN,NaN,NaN
1875,6,-0.337,1.152,-0.713,0.516,-0.398,0.354,NaN,NaN,NaN,NaN
1875,7,-0.167,1.273,-0.709,0.481,-0.391,0.351,NaN,NaN,NaN,NaN
1875,8,-0.703,1.092,-0.729,0.542,-0.383,0.365,NaN,NaN,NaN,NaN
1875,9,-0.315,1.158,-0.696,0.515,-0.363,0.366,NaN,NaN,NaN,NaN
1875,10,-1.004,0.861,-0.634,0.54,-0.348,0.379,NaN,NaN,NaN,NaN
1875,11,-1.349,1.31,-0.622,0.557,-0.343,0.381,NaN,NaN,NaN,NaN
1875,12,-0.676,1.056,-0.572,0.595,-0.336,0.395,NaN,NaN,NaN,NaN
1876,1,-1.219,1.043,-0.588,0.598,-0.335,0.388,NaN,NaN,NaN,NaN
1876,2,-1.211,1.207,-0.585,0.608,-0.334,0.381,NaN,NaN,NaN,NaN
1876,3,-0.288,1.142,NaN,NaN,-0.337,0.378,NaN,NaN,NaN,NaN
1876,4,NaN,NaN,NaN,NaN,-0.333,0.368,NaN,NaN,NaN,NaN
1876,5,-0.433,1.084,NaN,NaN,-0.316,0.364,NaN,NaN,NaN,NaN
1876,6,0.26,1.003,NaN,NaN,-0.318,0.354,NaN,NaN,NaN,NaN
1876,7,NaN,NaN,NaN,NaN,-0.32,0.356,-0.305,0.156,NaN,NaN
1876,8,NaN,NaN,NaN,NaN,-0.314,0.345,-0.309,0.155,NaN,NaN
1876,9,NaN,NaN,NaN,NaN,-0.304,0.349,-0.304,0.153,NaN,NaN
1876,10,-0.591,1.274,-0.483,0.827,-0.313,0.348,-0.307,0.156,NaN,NaN
1876,11,-0.62,1.47,-0.439,0.771,-0.314,0.351,-0.303,0.155,NaN,NaN
1876,12,-0.975,1.636,-0.443,0.733,-0.311,0.337,-0.302,0.158,NaN,NaN
1877,1,-0.865,1.483,-0.377,0.664,-0.318,0.343,-0.295,0.157,NaN,NaN
1877,2,-0.809,1.114,-0.292,0.636,-0.332,0.343,-0.29,0.16,NaN,NaN
