Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1811,8,-0.251,2.835,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,9,-0.526,2.521,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,10,-3.185,2.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,11,-2.882,2.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1811,12,0.621,2.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,1,-2.053,3.901,-1.874,1.067,NaN,NaN,NaN,NaN,NaN,NaN
1812,2,-4.637,2.385,-1.749,1.06,NaN,NaN,NaN,NaN,NaN,NaN
1812,3,-3.224,2.514,-1.73,1.001,NaN,NaN,NaN,NaN,NaN,NaN
1812,4,-2.629,2.233,-1.648,0.989,NaN,NaN,NaN,NaN,NaN,NaN
1812,5,-1.583,2.242,-1.582,1,NaN,NaN,NaN,NaN,NaN,NaN
1812,6,-1.746,2.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,7,-0.398,2.451,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,10,-2.197,2.481,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,11,-2.096,2.88,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1812,12,-0.359,4.081,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,1,-2.369,3.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,2,-1.129,2.636,-1,0.983,NaN,NaN,NaN,NaN,NaN,NaN
1813,3,NaN,NaN,-0.843,0.975,NaN,NaN,NaN,NaN,NaN,NaN
1813,4,0.122,2.618,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,5,0.927,3.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,6,-0.194,2.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,7,0.112,2.309,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,8,-0.989,2.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,9,1.586,2.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1813,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1814,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
