Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1856,1,-0.164,1.001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,2,-0.886,2.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,3,-0.64,1.28,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,4,-0.802,0.914,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,5,-1.243,0.963,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1856,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,4,-1.446,0.766,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,5,-1.496,0.832,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,8,-1.314,1.173,-1.059,0.505,NaN,NaN,NaN,NaN,NaN,NaN
1857,9,-1.305,0.788,-1.048,0.53,NaN,NaN,NaN,NaN,NaN,NaN
1857,10,-1.52,0.946,-0.935,0.552,NaN,NaN,NaN,NaN,NaN,NaN
1857,11,-1.093,0.843,-0.888,0.599,NaN,NaN,NaN,NaN,NaN,NaN
1857,12,-0.956,1.445,-0.859,0.609,NaN,NaN,NaN,NaN,NaN,NaN
1858,1,-0.441,1.608,-0.947,0.683,NaN,NaN,NaN,NaN,NaN,NaN
1858,2,-0.864,0.964,-0.898,0.625,NaN,NaN,NaN,NaN,NaN,NaN
1858,3,-0.963,0.962,-0.876,0.601,NaN,NaN,NaN,NaN,NaN,NaN
1858,4,-0.087,0.999,-0.834,0.624,NaN,NaN,NaN,NaN,NaN,NaN
1858,5,-0.938,0.951,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,7,-1.368,1.429,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,10,-1.012,1.111,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
