Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1743,11,0.961,1.927,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,4,1.319,2.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,5,-0.915,1.86,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,6,-1.882,1.656,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,7,-1.065,1.672,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,9,-0.654,1.882,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,10,-0.506,1.918,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,11,-0.053,1.751,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,12,-0.743,1.895,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,1,-1.887,1.939,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,2,-1.905,2.056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,3,-1.687,1.969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,4,-0.892,1.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1746,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1747,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1748,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1749,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,1,0.649,2.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,2.391,3.893,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,2.34,2.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.193,2.423,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-0.258,2.534,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
