Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1750,1,1.252,1.747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,3.881,2.829,0.658,1.072,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,3,3.293,0.671,1.091,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,1.068,1.514,0.516,1.08,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-0.403,1.082,0.127,1.058,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,-0.254,1.267,-0.063,1.084,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,1.306,1.561,-0.22,1.067,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.473,1.324,-0.814,0.974,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,0.04,1.814,-0.925,0.873,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-3.41,1.013,-1.069,0.823,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-5.341,1.132,-1.118,0.774,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.37,1.46,-1.176,0.77,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-0.626,1.59,-1.269,0.714,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-3.251,1.9,-1.3,0.702,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,1.672,1.539,-1.384,0.7,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-0.664,1.106,-1.205,0.731,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-0.993,1.162,-0.938,0.778,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.949,1.21,-0.784,0.823,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,0.198,1.608,-0.782,0.814,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,0.1,0.96,-0.458,0.802,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-0.969,0.919,-0.523,0.806,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,-1.265,1.607,-0.502,0.722,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-2.137,1.486,-0.515,0.685,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,-0.527,1.986,-0.377,0.664,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-0.604,1.542,-0.279,0.683,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,0.647,1.733,-0.246,0.722,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,0.893,1.305,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-0.424,1.643,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,-1.149,1.259,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,0.708,0.965,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,1.384,1.315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,0.493,1.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,-0.308,1.471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
