Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1743,11,0.17,1.94,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1743,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,4,0.385,2.204,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,5,-0.858,1.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,6,-0.377,1.72,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,7,-0.463,1.631,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,9,-1.068,1.83,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,10,-1.984,1.85,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,11,-0.192,1.713,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1744,12,-0.992,1.721,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,1,-0.664,1.954,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,2,-1.74,1.797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,3,-2.177,1.829,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,4,-1.404,1.842,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1745,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
