Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1750,1,-0.539,1.849,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,1.255,2.153,-0.238,0.772,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,1.592,2.505,-0.213,0.796,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.095,1.616,-0.276,0.798,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-0.548,1.504,-0.524,0.787,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,-0.521,1.597,-0.583,0.813,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,0.789,1.652,-0.577,0.793,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.133,1.566,-0.888,0.76,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,-0.304,2.082,-0.961,0.713,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-2.86,1.515,-1.051,0.684,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-3.707,1.5,-1.096,0.663,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.379,1.615,-1.115,0.661,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-0.47,1.703,-1.161,0.641,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-2.483,1.852,-1.19,0.639,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,0.719,1.688,-1.292,0.644,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-0.98,1.518,-1.269,0.656,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-1.091,1.601,-1.169,0.683,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.754,1.603,-1.091,0.706,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,0.239,1.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,-0.215,1.512,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-1.528,1.488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,1,-1.68,2.125,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,2,-0.155,2.197,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1753,3,1.323,1.832,-0.355,0.781,NaN,NaN,NaN,NaN,NaN,NaN
1753,4,-0.512,1.676,-0.288,0.783,NaN,NaN,NaN,NaN,NaN,NaN
1753,5,0,1.515,-0.432,0.782,NaN,NaN,NaN,NaN,NaN,NaN
1753,6,0.554,1.723,-0.58,0.843,NaN,NaN,NaN,NaN,NaN,NaN
1753,7,-0.13,1.799,-0.453,0.909,NaN,NaN,NaN,NaN,NaN,NaN
1753,8,-1.139,1.668,-0.569,0.889,NaN,NaN,NaN,NaN,NaN,NaN
1753,9,-0.77,1.506,-0.861,0.854,NaN,NaN,NaN,NaN,NaN,NaN
1753,10,-0.761,1.557,-0.749,0.871,NaN,NaN,NaN,NaN,NaN,NaN
1753,11,-1.444,1.615,-0.676,0.874,NaN,NaN,NaN,NaN,NaN,NaN
1753,12,-2.251,3.863,-0.743,0.858,NaN,NaN,NaN,NaN,NaN,NaN
1754,1,-0.147,1.969,-0.796,0.843,NaN,NaN,NaN,NaN,NaN,NaN
1754,2,-1.555,2.149,-0.752,0.902,NaN,NaN,NaN,NaN,NaN,NaN
1754,3,-2.183,1.581,-0.796,0.944,NaN,NaN,NaN,NaN,NaN,NaN
1754,4,0.84,1.699,-0.752,0.952,NaN,NaN,NaN,NaN,NaN,NaN
1754,5,0.874,1.512,-0.631,0.992,NaN,NaN,NaN,NaN,NaN,NaN
1754,6,-0.25,1.647,-0.494,0.855,NaN,NaN,NaN,NaN,NaN,NaN
1754,7,-0.764,1.8,-0.659,0.808,NaN,NaN,NaN,NaN,NaN,NaN
1754,8,-0.617,1.727,-0.727,0.815,NaN,NaN,NaN,NaN,NaN,NaN
1754,9,-1.289,1.739,-0.682,0.819,NaN,NaN,NaN,NaN,NaN,NaN
1754,10,-0.239,1.645,-0.634,0.843,NaN,NaN,NaN,NaN,NaN,NaN
1754,11,0.007,2.262,-0.744,0.822,NaN,NaN,NaN,NaN,NaN,NaN
1754,12,-0.606,1.797,-0.617,0.829,NaN,NaN,NaN,NaN,NaN,NaN
1755,1,-2.128,1.816,-0.544,0.872,NaN,NaN,NaN,NaN,NaN,NaN
1755,2,-2.372,2.04,-0.634,0.857,NaN,NaN,NaN,NaN,NaN,NaN
1755,3,-1.637,1.789,-0.656,0.852,-0.46,0.546,NaN,NaN,NaN,NaN
1755,4,1.409,1.782,-0.657,0.808,-0.499,0.533,NaN,NaN,NaN,NaN
1755,5,-0.44,1.59,-0.726,0.841,-0.512,0.538,NaN,NaN,NaN,NaN
1755,6,1.27,1.882,-0.774,0.798,-0.539,0.535,NaN,NaN,NaN,NaN
1755,7,0.115,2.24,-0.441,0.843,-0.565,0.53,NaN,NaN,NaN,NaN
1755,8,-1.696,1.705,-0.033,0.794,-0.576,0.53,NaN,NaN,NaN,NaN
1755,9,-1.56,1.589,0.074,0.756,-0.611,0.53,NaN,NaN,NaN,NaN
1755,10,-0.248,1.417,-0.111,0.753,-0.628,0.536,NaN,NaN,NaN,NaN
