Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1883,1,-1.197,0.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,2,-1.219,0.991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,3,-0.414,0.745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,4,-0.368,1.051,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1883,5,-0.33,0.862,-0.686,0.543,NaN,NaN,NaN,NaN,NaN,NaN
1883,6,-0.006,0.795,-0.609,0.533,NaN,NaN,NaN,NaN,NaN,NaN
1883,7,-0.321,0.739,-0.579,0.512,NaN,NaN,NaN,NaN,NaN,NaN
1883,8,-0.439,0.848,-0.55,0.496,NaN,NaN,NaN,NaN,NaN,NaN
1883,9,-0.635,0.704,-0.617,0.522,NaN,NaN,NaN,NaN,NaN,NaN
1883,10,-0.374,0.724,-0.689,0.498,NaN,NaN,NaN,NaN,NaN,NaN
1883,11,-1.291,0.77,-0.763,0.492,NaN,NaN,NaN,NaN,NaN,NaN
1883,12,-0.716,0.838,-0.812,0.5,NaN,NaN,NaN,NaN,NaN,NaN
1884,1,-0.831,0.766,-0.83,0.504,NaN,NaN,NaN,NaN,NaN,NaN
1884,2,-0.875,0.732,-0.834,0.495,NaN,NaN,NaN,NaN,NaN,NaN
1884,3,-1.212,1.082,-0.83,0.51,NaN,NaN,NaN,NaN,NaN,NaN
1884,4,-1.233,0.722,-0.858,0.508,NaN,NaN,NaN,NaN,NaN,NaN
1884,5,-1.226,0.744,-0.838,0.506,NaN,NaN,NaN,NaN,NaN,NaN
1884,6,-0.588,0.91,-0.866,0.499,NaN,NaN,NaN,NaN,NaN,NaN
1884,7,-0.541,0.781,-0.946,0.504,NaN,NaN,NaN,NaN,NaN,NaN
1884,8,-0.492,0.729,-0.952,0.511,NaN,NaN,NaN,NaN,NaN,NaN
1884,9,-0.587,0.846,-0.909,0.498,-0.755,0.316,NaN,NaN,NaN,NaN
1884,10,-0.701,0.737,-0.91,0.5,-0.751,0.318,NaN,NaN,NaN,NaN
1884,11,-1.06,0.762,-0.882,0.495,-0.754,0.318,NaN,NaN,NaN,NaN
1884,12,-1.05,0.94,-0.871,0.499,-0.753,0.318,NaN,NaN,NaN,NaN
1885,1,-1.783,0.755,-0.843,0.497,-0.749,0.318,NaN,NaN,NaN,NaN
1885,2,-0.956,0.907,-0.84,0.493,-0.758,0.318,NaN,NaN,NaN,NaN
1885,3,-0.691,0.775,-0.825,0.49,-0.761,0.317,NaN,NaN,NaN,NaN
1885,4,-1.25,0.827,-0.816,0.492,-0.756,0.315,NaN,NaN,NaN,NaN
1885,5,-0.885,0.722,-0.787,0.496,-0.749,0.314,NaN,NaN,NaN,NaN
1885,6,-0.456,0.832,-0.755,0.496,-0.736,0.317,NaN,NaN,NaN,NaN
1885,7,-0.208,0.737,-0.723,0.498,-0.733,0.315,NaN,NaN,NaN,NaN
1885,8,-0.46,0.711,-0.746,0.498,-0.737,0.31,NaN,NaN,NaN,NaN
1885,9,-0.396,0.794,-0.77,0.501,-0.749,0.311,NaN,NaN,NaN,NaN
1885,10,-0.598,0.716,-0.701,0.508,-0.751,0.309,NaN,NaN,NaN,NaN
1885,11,-0.709,0.832,-0.685,0.508,-0.758,0.308,NaN,NaN,NaN,NaN
1885,12,-0.669,1.232,-0.692,0.502,-0.765,0.309,NaN,NaN,NaN,NaN
1886,1,-1.404,0.826,-0.684,0.497,-0.759,0.31,-0.628,0.237,NaN,NaN
1886,2,-1.232,1.052,-0.691,0.498,-0.758,0.308,-0.63,0.243,NaN,NaN
1886,3,-0.976,0.825,-0.677,0.5,-0.752,0.31,-0.63,0.246,NaN,NaN
1886,4,-0.424,0.778,-0.667,0.51,-0.745,0.311,-0.632,0.252,NaN,NaN
1886,5,-0.686,0.722,-0.683,0.509,-0.729,0.313,-0.633,0.256,NaN,NaN
1886,6,-0.543,0.747,-0.673,0.526,-0.724,0.317,-0.628,0.259,NaN,NaN
1886,7,-0.116,0.778,-0.701,0.539,-0.727,0.32,-0.629,0.261,NaN,NaN
1886,8,-0.537,0.715,-0.693,0.525,-0.715,0.318,-0.627,0.265,NaN,NaN
1886,9,-0.23,0.803,-0.687,0.514,-0.7,0.313,-0.625,0.266,NaN,NaN
1886,10,-0.483,0.914,-0.692,0.516,-0.678,0.314,-0.624,0.268,NaN,NaN
1886,11,-0.898,0.806,-0.694,0.521,-0.659,0.315,-0.622,0.272,NaN,NaN
1886,12,-0.545,0.983,-0.696,0.516,-0.651,0.313,-0.62,0.27,NaN,NaN
1887,1,-1.74,0.945,-0.712,0.518,-0.643,0.312,-0.627,0.27,NaN,NaN
1887,2,-1.141,0.771,-0.73,0.517,-0.639,0.313,-0.63,0.27,NaN,NaN
1887,3,-0.901,0.741,-0.747,0.506,-0.636,0.311,-0.632,0.274,NaN,NaN
1887,4,-0.482,0.795,-0.76,0.493,-0.632,0.311,-0.63,0.277,NaN,NaN
1887,5,-0.715,0.792,-0.752,0.486,-0.63,0.313,-0.63,0.279,NaN,NaN
1887,6,-0.56,0.739,-0.775,0.49,-0.625,0.317,-0.628,0.277,NaN,NaN
1887,7,-0.315,0.716,-0.718,0.487,-0.61,0.317,-0.628,0.275,NaN,NaN
1887,8,-0.754,0.703,-0.742,0.489,-0.605,0.316,-0.63,0.275,NaN,NaN
1887,9,-0.436,0.777,-0.76,0.488,-0.612,0.317,-0.632,0.273,NaN,NaN
1887,10,-0.628,0.721,-0.761,0.49,-0.6,0.32,-0.629,0.268,NaN,NaN
1887,11,-0.804,0.783,-0.766,0.485,-0.598,0.323,-0.631,0.267,NaN,NaN
1887,12,-0.82,0.865,-0.753,0.485,-0.597,0.322,-0.627,0.263,-0.549,0.175
1888,1,-1.06,0.764,-0.727,0.482,-0.598,0.32,-0.634,0.263,-0.547,0.175
1888,2,-1.428,0.816,-0.693,0.483,-0.601,0.32,-0.636,0.263,-0.552,0.174
1888,3,-1.119,0.745,-0.679,0.488,-0.599,0.32,-0.639,0.261,-0.562,0.176
1888,4,-0.49,0.818,-0.626,0.495,-0.593,0.319,-0.639,0.259,-0.567,0.175
1888,5,-0.776,0.75,-0.587,0.506,-0.601,0.316,-0.644,0.257,-0.566,0.177
1888,6,-0.402,0.849,-0.552,0.503,-0.603,0.32,-0.651,0.254,-0.569,0.176
1888,7,-0.008,0.737,-0.548,0.505,-0.587,0.33,-0.652,0.251,-0.571,0.177
1888,8,-0.351,0.714,-0.439,0.501,-0.583,0.335,-0.654,0.247,-0.573,0.178
1888,9,-0.265,0.765,-0.372,0.499,-0.573,0.339,-0.654,0.245,-0.574,0.178
1888,10,0.008,0.782,-0.329,0.497,-0.571,0.348,-0.658,0.24,-0.576,0.178
1888,11,-0.338,0.784,-0.27,0.498,-0.565,0.356,-0.655,0.234,-0.579,0.178
1888,12,-0.395,0.846,-0.245,0.495,-0.557,0.36,-0.659,0.232,-0.581,0.177
1889,1,-1.007,0.848,-0.247,0.499,-0.558,0.365,-0.662,0.233,-0.582,0.175
1889,2,-0.131,0.904,-0.241,0.504,-0.549,0.37,-0.663,0.229,-0.582,0.174
1889,3,-0.304,0.9,-0.251,0.503,-0.547,0.369,-0.66,0.222,-0.583,0.174
1889,4,0.027,0.773,-0.292,0.5,-0.545,0.369,-0.659,0.22,-0.582,0.172
1889,5,-0.078,0.795,-0.343,0.504,-0.541,0.372,-0.656,0.217,-0.581,0.172
1889,6,-0.094,0.742,-0.373,0.512,-0.539,0.368,-0.657,0.215,-0.582,0.173
1889,7,-0.036,0.732,-0.361,0.499,-0.524,0.365,-0.657,0.212,-0.582,0.173
1889,8,-0.276,0.761,-0.404,0.505,-0.512,0.362,-0.658,0.21,-0.579,0.173
1889,9,-0.389,0.739,-0.47,0.516,-0.508,0.368,-0.657,0.207,-0.576,0.173
1889,10,-0.483,0.717,-0.519,0.528,-0.508,0.372,-0.654,0.205,-0.575,0.173
1889,11,-0.946,0.958,-0.576,0.532,-0.507,0.373,-0.653,0.202,-0.572,0.172
1889,12,-0.759,0.86,-0.599,0.544,-0.503,0.368,-0.65,0.203,-0.569,0.172
1890,1,-0.859,0.744,-0.621,0.534,-0.507,0.364,-0.644,0.203,-0.569,0.173
1890,2,-0.655,0.824,-0.649,0.522,-0.503,0.362,-0.646,0.201,-0.564,0.173
1890,3,-1.087,0.841,-0.643,0.522,-0.503,0.358,-0.647,0.199,-0.56,0.173
1890,4,-0.56,0.776,-0.621,0.517,-0.502,0.35,-0.639,0.198,-0.557,0.173
1890,5,-0.768,0.868,-0.64,0.501,-0.513,0.347,-0.634,0.2,-0.556,0.173
1890,6,-0.373,0.792,-0.644,0.5,-0.519,0.337,-0.633,0.198,-0.555,0.174
1890,7,-0.299,0.716,-0.607,0.54,-0.534,0.338,-0.633,0.197,-0.554,0.173
1890,8,-0.614,0.682,-0.634,0.572,-0.535,0.344,-0.631,0.197,-0.554,0.174
1890,9,-0.31,0.739,-0.575,0.592,-0.529,0.341,-0.631,0.195,-0.55,0.174
1890,10,-0.224,0.688,-0.554,0.632,-0.528,0.339,-0.628,0.195,-0.547,0.174
1890,11,-1.166,0.737,-0.517,0.667,-0.529,0.34,-0.627,0.192,-0.548,0.174
1890,12,-0.812,0.706,-0.495,0.687,-0.537,0.332,-0.623,0.196,-0.546,0.174
1891,1,-0.411,1.451,-0.482,0.704,-0.544,0.326,-0.616,0.195,-0.545,0.173
1891,2,-0.984,1.433,-0.433,0.732,-0.551,0.323,-0.609,0.192,-0.544,0.172
1891,3,-0.382,1.086,-0.413,0.728,-0.557,0.317,-0.609,0.191,-0.541,0.171
1891,4,-0.302,1.246,-0.425,0.751,-0.571,0.306,-0.613,0.193,-0.54,0.171
1891,5,-0.323,1.062,-0.385,0.786,-0.581,0.295,-0.609,0.194,-0.54,0.172
1891,6,-0.112,0.86,-0.351,0.758,-0.593,0.285,-0.606,0.193,-0.537,0.173
1891,7,-0.149,0.723,-0.385,0.673,-0.597,0.283,-0.602,0.196,-0.538,0.173
1891,8,-0.022,0.784,-0.342,0.584,-0.612,0.281,-0.599,0.195,-0.538,0.173
1891,9,-0.074,0.722,-0.363,0.579,-0.621,0.282,-0.596,0.195,-0.537,0.174
1891,10,-0.369,0.7,-0.379,0.558,-0.639,0.283,-0.589,0.194,-0.537,0.174
1891,11,-0.681,0.762,-0.406,0.548,-0.653,0.28,-0.582,0.198,-0.535,0.174
1891,12,-0.403,0.65,-0.424,0.514,-0.662,0.281,-0.578,0.199,-0.535,0.174
1892,1,-0.817,0.686,-0.458,0.485,-0.671,0.276,-0.57,0.198,-0.537,0.174
