Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1861,1,-1.529,2.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,2,-2.799,1.868,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,3,-1.341,2.122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,4,-0.766,1.988,-1.035,0.832,NaN,NaN,NaN,NaN,NaN,NaN
1861,5,-1.056,1.77,-1.004,0.807,NaN,NaN,NaN,NaN,NaN,NaN
1861,6,NaN,NaN,-1.003,0.78,NaN,NaN,NaN,NaN,NaN,NaN
1861,7,-0.022,1.725,-1.035,0.782,NaN,NaN,NaN,NaN,NaN,NaN
1861,8,-0.534,1.658,-0.95,0.764,NaN,NaN,NaN,NaN,NaN,NaN
1861,9,-1.131,1.682,-0.932,0.756,NaN,NaN,NaN,NaN,NaN,NaN
1861,10,-1.194,1.731,-0.917,0.762,NaN,NaN,NaN,NaN,NaN,NaN
1861,11,-0.216,1.723,-0.833,0.752,NaN,NaN,NaN,NaN,NaN,NaN
1861,12,-0.725,1.925,-0.722,0.758,NaN,NaN,NaN,NaN,NaN,NaN
1862,1,-1.917,2.184,-0.713,0.759,NaN,NaN,NaN,NaN,NaN,NaN
1862,2,-1.778,2.022,-0.777,0.764,NaN,NaN,NaN,NaN,NaN,NaN
1862,3,-1.123,1.834,-0.881,0.765,NaN,NaN,NaN,NaN,NaN,NaN
1862,4,-0.582,2.172,-1.031,0.776,NaN,NaN,NaN,NaN,NaN,NaN
1862,5,-0.049,1.716,-1.164,0.814,NaN,NaN,NaN,NaN,NaN,NaN
1862,6,0.605,1.851,-1.287,0.847,NaN,NaN,NaN,NaN,NaN,NaN
1862,7,0.089,1.737,-1.3,0.815,-0.693,0.542,NaN,NaN,NaN,NaN
1862,8,-1.302,1.671,-1.366,0.787,-0.671,0.541,NaN,NaN,NaN,NaN
1862,9,-2.38,1.743,-1.33,0.808,-0.62,0.531,NaN,NaN,NaN,NaN
1862,10,-2.992,1.771,-1.346,0.791,-0.642,0.53,NaN,NaN,NaN,NaN
1862,11,-1.813,1.742,-1.344,0.764,-0.666,0.532,NaN,NaN,NaN,NaN
