Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1857,9,0.768,2.762,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1857,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,3,-0.572,1.401,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,4,0.101,1.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,5,-0.235,1.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,6,0.401,1.559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,7,-0.09,1.558,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,8,0.409,1.959,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,9,0.379,1.915,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,11,1.159,1.362,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1858,12,-1.138,1.561,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,1,-1.095,1.487,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,3,-0.901,1.692,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,4,2.208,2.123,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,5,1.686,2.501,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,6,0.926,2.077,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,9,-0.427,1.233,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1859,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,1,-1.083,1.629,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,2,-1.639,1.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,3,-0.502,1.777,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,5,-0.422,1.686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,6,-0.084,1.341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,7,-0.85,1.764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,8,-0.481,1.399,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,9,-1.208,1.928,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,10,-1.626,2.469,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,11,-1.108,2.094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1860,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1861,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
