Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1820,8,-2.201,2.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1820,9,-0.84,2.453,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1820,10,-2.241,2.435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1820,11,-1.891,2.149,-0.38,0.922,NaN,NaN,NaN,NaN,NaN,NaN
1820,12,-2.461,2.235,-0.542,0.862,NaN,NaN,NaN,NaN,NaN,NaN
1821,1,1.41,2.587,-0.608,0.869,NaN,NaN,NaN,NaN,NaN,NaN
1821,2,3.28,3.309,-0.479,0.901,NaN,NaN,NaN,NaN,NaN,NaN
1821,3,1.08,2.571,-0.598,0.899,NaN,NaN,NaN,NaN,NaN,NaN
1821,4,0.049,2.271,-0.562,0.913,NaN,NaN,NaN,NaN,NaN,NaN
1821,5,-0.261,2.187,-0.463,0.965,NaN,NaN,NaN,NaN,NaN,NaN
1821,6,-2.271,2.535,-0.349,1.005,NaN,NaN,NaN,NaN,NaN,NaN
1821,7,-0.948,2.626,-0.61,0.912,NaN,NaN,NaN,NaN,NaN,NaN
1821,8,-0.648,2.297,-0.762,0.839,NaN,NaN,NaN,NaN,NaN,NaN
1821,9,-2.275,2.241,-0.575,0.911,NaN,NaN,NaN,NaN,NaN,NaN
1821,10,-1.807,2.175,-0.537,0.906,NaN,NaN,NaN,NaN,NaN,NaN
1821,11,-0.71,2.713,-0.549,0.9,NaN,NaN,NaN,NaN,NaN,NaN
1821,12,-1.081,2.303,-0.431,0.892,NaN,NaN,NaN,NaN,NaN,NaN
1822,1,-1.731,2.673,-0.357,0.863,NaN,NaN,NaN,NaN,NaN,NaN
1822,2,1.457,2.437,-0.386,0.857,NaN,NaN,NaN,NaN,NaN,NaN
1822,3,3.321,2.555,-0.314,0.875,NaN,NaN,NaN,NaN,NaN,NaN
1822,4,0.505,2.205,-0.29,0.901,-0.657,0.47,NaN,NaN,NaN,NaN
1822,5,-0.402,2.079,-0.376,0.919,-0.644,0.476,NaN,NaN,NaN,NaN
1822,6,-0.855,2.139,-0.515,0.982,-0.576,0.489,NaN,NaN,NaN,NaN
1822,7,-0.056,2.165,-0.52,0.95,-0.502,0.51,NaN,NaN,NaN,NaN
1822,8,-0.993,2.184,-0.669,0.915,-0.498,0.514,NaN,NaN,NaN,NaN
1822,9,-1.411,2.643,-1.003,0.945,-0.504,0.509,NaN,NaN,NaN,NaN
1822,10,-1.519,2.522,-1.117,1.058,-0.515,0.51,NaN,NaN,NaN,NaN
1822,11,-1.752,2.389,-1.165,1.127,-0.514,0.513,NaN,NaN,NaN,NaN
1822,12,-2.746,2.937,-1.113,1.11,-0.5,0.521,NaN,NaN,NaN,NaN
1823,1,-1.79,2.256,-1.078,1.093,-0.52,0.516,NaN,NaN,NaN,NaN
1823,2,-0.33,2.367,-1.112,1.092,-0.513,0.515,NaN,NaN,NaN,NaN
1823,3,-0.69,2.737,-1.148,1.038,-0.521,0.516,NaN,NaN,NaN,NaN
1823,4,-0.857,3.036,-1.213,1.077,-0.505,0.517,NaN,NaN,NaN,NaN
1823,5,-0.98,2.57,-1.115,1.041,-0.462,0.539,NaN,NaN,NaN,NaN
1823,6,-0.233,2.473,-1.046,0.983,-0.443,0.539,NaN,NaN,NaN,NaN
1823,7,0.359,2.215,-0.912,0.978,-0.489,0.528,NaN,NaN,NaN,NaN
