Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1878,1,-1.382,1.489,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,2,-0.941,1.396,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,3,0.822,1.322,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1878,4,0.851,1.393,0.234,0.645,NaN,NaN,NaN,NaN,NaN,NaN
1878,5,0.594,1.626,0.209,0.651,NaN,NaN,NaN,NaN,NaN,NaN
1878,6,0.501,1.474,0.286,0.653,NaN,NaN,NaN,NaN,NaN,NaN
1878,7,1.622,1.367,0.485,0.664,NaN,NaN,NaN,NaN,NaN,NaN
1878,8,0.73,1.587,0.509,0.677,NaN,NaN,NaN,NaN,NaN,NaN
1878,9,0.888,1.634,0.338,0.67,NaN,NaN,NaN,NaN,NaN,NaN
1878,10,0.202,1.456,0.291,0.673,NaN,NaN,NaN,NaN,NaN,NaN
1878,11,-0.308,1.378,0.223,0.637,NaN,NaN,NaN,NaN,NaN,NaN
1878,12,NaN,NaN,0.2,0.647,NaN,NaN,NaN,NaN,NaN,NaN
1879,1,1.009,1.325,0.078,0.619,NaN,NaN,NaN,NaN,NaN,NaN
1879,2,-0.651,1.397,-0.005,0.622,NaN,NaN,NaN,NaN,NaN,NaN
1879,3,-1.227,1.356,-0.131,0.618,NaN,NaN,NaN,NaN,NaN,NaN
1879,4,0.286,1.47,-0.155,0.628,NaN,NaN,NaN,NaN,NaN,NaN
1879,5,-0.231,1.374,-0.196,0.631,NaN,NaN,NaN,NaN,NaN,NaN
1879,6,0.227,1.529,-0.143,0.607,NaN,NaN,NaN,NaN,NaN,NaN
1879,7,0.158,1.47,-0.212,0.606,NaN,NaN,NaN,NaN,NaN,NaN
1879,8,-0.268,1.361,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,9,-0.619,1.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1879,10,-0.084,1.463,NaN,NaN,0.02,0.347,NaN,NaN,NaN,NaN
1879,11,-0.801,1.372,NaN,NaN,-0.007,0.351,NaN,NaN,NaN,NaN
1879,12,0.488,1.4,NaN,NaN,-0.011,0.351,NaN,NaN,NaN,NaN
1880,1,NaN,NaN,NaN,NaN,-0.043,0.352,NaN,NaN,NaN,NaN
1880,2,NaN,NaN,NaN,NaN,-0.056,0.351,NaN,NaN,NaN,NaN
1880,3,NaN,NaN,NaN,NaN,-0.068,0.348,NaN,NaN,NaN,NaN
1880,4,-0.21,1.443,NaN,NaN,-0.093,0.349,NaN,NaN,NaN,NaN
1880,5,NaN,NaN,NaN,NaN,-0.118,0.344,NaN,NaN,NaN,NaN
1880,6,NaN,NaN,NaN,NaN,-0.088,0.338,NaN,NaN,NaN,NaN
1880,7,NaN,NaN,NaN,NaN,-0.079,0.336,NaN,NaN,NaN,NaN
1880,8,-0.457,1.398,NaN,NaN,-0.078,0.338,NaN,NaN,NaN,NaN
1880,9,0.025,1.431,0.027,0.623,-0.092,0.337,NaN,NaN,NaN,NaN
1880,10,-0.264,1.161,0.066,0.61,-0.105,0.339,NaN,NaN,NaN,NaN
1880,11,-0.223,0.979,0.129,0.625,-0.114,0.341,NaN,NaN,NaN,NaN
1880,12,0.131,1.298,0.16,0.643,-0.106,0.343,NaN,NaN,NaN,NaN
1881,1,0.932,1.086,0.216,0.642,-0.145,0.342,-0.146,0.24,NaN,NaN
1881,2,0.54,1.076,0.284,0.633,-0.173,0.353,-0.151,0.241,NaN,NaN
1881,3,0.378,1.26,0.301,0.628,-0.194,0.353,-0.158,0.245,NaN,NaN
1881,4,0.253,1.073,0.355,0.601,-0.194,0.352,-0.165,0.246,NaN,NaN
1881,5,0.585,1.202,0.346,0.587,-0.212,0.35,-0.168,0.248,NaN,NaN
1881,6,0.223,1.532,0.314,0.589,-0.206,0.341,-0.16,0.246,NaN,NaN
1881,7,0.473,1.149,0.222,0.586,-0.227,0.339,-0.156,0.245,NaN,NaN
1881,8,0.356,1.49,0.054,0.566,-0.239,0.339,-0.16,0.245,NaN,NaN
1881,9,0.23,1.299,-0.097,0.562,-0.227,0.344,-0.163,0.247,NaN,NaN
1881,10,0.382,1.089,-0.137,0.589,-0.233,0.341,-0.163,0.247,NaN,NaN
1881,11,-0.323,1.15,-0.242,0.578,-0.252,0.341,-0.169,0.247,NaN,NaN
1881,12,-0.265,1.134,-0.27,0.568,-0.262,0.345,-0.185,0.249,NaN,NaN
1882,1,-0.17,1.12,-0.402,0.557,-0.273,0.344,-0.201,0.255,NaN,NaN
1882,2,-1.468,1.561,-0.453,0.535,-0.272,0.346,-0.205,0.259,NaN,NaN
1882,3,-1.437,1.118,-0.497,0.534,-0.26,0.341,-0.219,0.263,NaN,NaN
1882,4,-0.228,1.062,-0.563,0.547,-0.265,0.337,-0.229,0.266,NaN,NaN
1882,5,-0.672,1.122,-0.663,0.545,-0.266,0.334,-0.245,0.269,NaN,NaN
1882,6,-0.116,1.127,-0.579,0.532,-0.274,0.329,-0.245,0.27,NaN,NaN
1882,7,-1.11,1.157,-0.634,0.563,-0.302,0.335,-0.256,0.267,NaN,NaN
1882,8,-0.253,1.111,-0.586,0.573,-0.279,0.333,-0.27,0.263,NaN,NaN
1882,9,-0.302,0.975,-0.47,0.564,-0.289,0.326,-0.279,0.268,NaN,NaN
1882,10,-0.408,1.082,-0.444,0.566,-0.307,0.328,-0.288,0.271,NaN,NaN
1882,11,-1.529,1.059,-0.385,0.557,-0.3,0.331,-0.282,0.27,NaN,NaN
1882,12,0.742,1.424,-0.292,0.532,-0.303,0.331,-0.275,0.27,NaN,NaN
1883,1,-0.822,1.166,-0.258,0.509,-0.294,0.331,-0.264,0.267,NaN,NaN
1883,2,-0.897,1.322,-0.314,0.52,-0.285,0.329,-0.252,0.271,NaN,NaN
1883,3,-0.041,1.093,-0.321,0.508,-0.294,0.325,-0.26,0.273,NaN,NaN
1883,4,0.074,1.125,-0.272,0.484,-0.296,0.322,-0.27,0.279,NaN,NaN
1883,5,0.044,1.089,-0.262,0.494,-0.293,0.323,-0.278,0.283,NaN,NaN
1883,6,0.992,0.989,-0.304,0.454,-0.294,0.325,-0.285,0.291,NaN,NaN
1883,7,-0.699,1.463,-0.256,0.426,-0.33,0.33,-0.299,0.294,-0.22,0.191
1883,8,-0.923,1.368,-0.298,0.458,-0.368,0.331,-0.308,0.302,-0.221,0.194
1883,9,-0.39,0.956,-0.334,0.449,-0.389,0.334,-0.316,0.31,-0.223,0.196
1883,10,0.179,0.969,-0.347,0.447,-0.396,0.335,-0.313,0.307,-0.225,0.197
1883,11,-1.401,1.037,-0.465,0.423,-0.4,0.329,-0.312,0.31,-0.225,0.197
1883,12,0.236,0.989,-0.578,0.429,-0.392,0.322,-0.3,0.307,-0.218,0.196
1884,1,-0.248,1.063,-0.56,0.453,-0.389,0.321,-0.313,0.306,-0.218,0.195
1884,2,-1.4,1.158,-0.505,0.428,-0.407,0.321,-0.306,0.303,-0.218,0.194
1884,3,-0.473,1.076,-0.462,0.433,-0.42,0.318,-0.285,0.303,-0.211,0.192
1884,4,-0.077,0.96,-0.507,0.436,-0.429,0.323,-0.287,0.3,-0.21,0.192
