Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1880,8,-0.156,1.041,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,9,-0.098,1.353,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1880,10,0.035,1.036,-0.021,0.589,NaN,NaN,NaN,NaN,NaN,NaN
1880,11,-0.211,0.898,0.007,0.591,NaN,NaN,NaN,NaN,NaN,NaN
1880,12,-0.647,1.067,0.004,0.597,NaN,NaN,NaN,NaN,NaN,NaN
1881,1,0.546,0.943,0.031,0.613,NaN,NaN,NaN,NaN,NaN,NaN
1881,2,-0.011,0.972,0.098,0.628,NaN,NaN,NaN,NaN,NaN,NaN
1881,3,-0.126,1.14,0.121,0.628,NaN,NaN,NaN,NaN,NaN,NaN
1881,4,0.676,0.965,0.139,0.614,NaN,NaN,NaN,NaN,NaN,NaN
1881,5,0.139,1.114,0.128,0.61,NaN,NaN,NaN,NaN,NaN,NaN
1881,6,-0.178,1.37,0.147,0.605,NaN,NaN,NaN,NaN,NaN,NaN
1881,7,0.399,1.029,0.053,0.601,NaN,NaN,NaN,NaN,NaN,NaN
1881,8,0.648,1.516,-0.085,0.576,NaN,NaN,NaN,NaN,NaN,NaN
1881,9,0.182,1.202,-0.179,0.564,NaN,NaN,NaN,NaN,NaN,NaN
1881,10,0.257,1.001,-0.255,0.591,-0.366,0.348,NaN,NaN,NaN,NaN
1881,11,-0.344,1.059,-0.346,0.573,-0.389,0.348,NaN,NaN,NaN,NaN
1881,12,-0.418,0.943,-0.399,0.547,-0.402,0.349,NaN,NaN,NaN,NaN
1882,1,-0.593,0.946,-0.506,0.535,-0.42,0.349,NaN,NaN,NaN,NaN
1882,2,-1.658,1.285,-0.569,0.515,-0.42,0.352,NaN,NaN,NaN,NaN
1882,3,-1.261,1.022,-0.605,0.53,-0.416,0.353,NaN,NaN,NaN,NaN
1882,4,-0.235,1.007,-0.68,0.546,-0.422,0.354,NaN,NaN,NaN,NaN
1882,5,-0.951,0.945,-0.774,0.552,-0.43,0.35,NaN,NaN,NaN,NaN
1882,6,-0.807,0.913,-0.734,0.554,-0.434,0.346,NaN,NaN,NaN,NaN
1882,7,-0.887,0.988,-0.732,0.584,-0.429,0.354,NaN,NaN,NaN,NaN
1882,8,-0.113,0.932,-0.671,0.586,-0.412,0.351,NaN,NaN,NaN,NaN
1882,9,-0.246,0.955,-0.572,0.576,-0.409,0.345,NaN,NaN,NaN,NaN
1882,10,-0.653,0.928,-0.577,0.562,-0.416,0.346,NaN,NaN,NaN,NaN
1882,11,-1.47,0.974,-0.535,0.551,-0.407,0.349,NaN,NaN,NaN,NaN
1882,12,0.065,1.412,-0.445,0.547,-0.417,0.35,NaN,NaN,NaN,NaN
1883,1,-0.565,1.092,-0.444,0.524,-0.416,0.353,-0.358,0.258,NaN,NaN
1883,2,-0.927,1.293,-0.48,0.522,-0.417,0.355,-0.344,0.263,NaN,NaN
1883,3,-0.079,1.017,-0.491,0.495,-0.43,0.351,-0.348,0.263,NaN,NaN
1883,4,-0.288,0.988,-0.411,0.467,-0.439,0.346,-0.36,0.268,NaN,NaN
1883,5,-0.451,0.923,-0.383,0.459,-0.442,0.345,-0.367,0.269,NaN,NaN
1883,6,0.273,0.883,-0.416,0.411,-0.428,0.34,-0.379,0.274,NaN,NaN
1883,7,-0.871,1.568,-0.454,0.393,-0.454,0.348,-0.39,0.276,NaN,NaN
1883,8,-0.549,0.921,-0.522,0.427,-0.47,0.349,-0.4,0.283,NaN,NaN
1883,9,-0.373,0.836,-0.583,0.417,-0.485,0.353,-0.405,0.287,NaN,NaN
1883,10,0.307,0.786,-0.55,0.424,-0.502,0.352,-0.398,0.284,NaN,NaN
1883,11,-1.133,0.856,-0.633,0.391,-0.516,0.342,-0.411,0.288,NaN,NaN
1883,12,-0.331,0.778,-0.691,0.384,-0.509,0.337,-0.413,0.288,NaN,NaN
1884,1,-1.028,0.966,-0.662,0.389,-0.51,0.336,-0.419,0.286,NaN,NaN
1884,2,-1.744,0.991,-0.633,0.381,-0.529,0.334,-0.414,0.285,NaN,NaN
1884,3,-0.803,1.079,-0.652,0.396,-0.544,0.33,-0.398,0.288,NaN,NaN
1884,4,0.1,0.864,-0.726,0.398,-0.554,0.333,-0.403,0.284,NaN,NaN
1884,5,-1.446,0.871,-0.731,0.393,-0.578,0.331,-0.4,0.284,NaN,NaN
1884,6,-0.425,0.919,-0.71,0.4,-0.595,0.324,-0.405,0.287,NaN,NaN
1884,7,-0.523,0.937,-0.699,0.438,-0.615,0.341,-0.41,0.283,NaN,NaN
1884,8,-0.192,0.871,-0.597,0.473,-0.6,0.348,-0.413,0.281,NaN,NaN
1884,9,-0.607,1.277,-0.606,0.431,-0.602,0.354,-0.405,0.284,NaN,NaN
1884,10,-0.575,0.862,-0.677,0.464,-0.594,0.351,-0.403,0.285,NaN,NaN
1884,11,-1.195,0.885,-0.53,0.483,-0.597,0.351,-0.41,0.287,NaN,NaN
1884,12,-0.085,0.883,-0.554,0.506,-0.589,0.357,-0.41,0.288,NaN,NaN
1885,1,-0.897,1.308,-0.499,0.524,-0.583,0.359,-0.406,0.294,NaN,NaN
1885,2,-0.517,0.959,-0.499,0.555,-0.597,0.353,-0.393,0.293,NaN,NaN
1885,3,-0.912,0.927,-0.524,0.53,-0.606,0.358,-0.39,0.294,NaN,NaN
1885,4,-0.748,1.275,-0.516,0.547,-0.587,0.35,-0.388,0.291,NaN,NaN
1885,5,0.317,0.904,-0.449,0.555,-0.558,0.354,-0.395,0.289,NaN,NaN
1885,6,-0.719,1.249,-0.429,0.557,-0.568,0.355,-0.399,0.289,NaN,NaN
1885,7,0.147,1.272,-0.437,0.568,-0.565,0.346,-0.406,0.283,-0.327,0.197
1885,8,-0.203,1.263,-0.477,0.561,-0.545,0.346,-0.415,0.278,-0.328,0.196
1885,9,-0.896,1.247,-0.485,0.638,-0.546,0.342,-0.422,0.276,-0.327,0.195
1885,10,-0.483,1.335,-0.452,0.624,-0.545,0.348,-0.426,0.276,-0.329,0.195
1885,11,-0.393,0.877,-0.536,0.618,-0.55,0.35,-0.429,0.28,-0.326,0.195
1885,12,0.161,1.016,-0.457,0.605,-0.568,0.357,-0.419,0.285,-0.321,0.195
1886,1,-1.002,1.227,-0.438,0.595,-0.545,0.369,-0.422,0.29,-0.314,0.195
1886,2,-0.989,1.059,-0.464,0.597,-0.537,0.376,-0.424,0.293,-0.315,0.195
1886,3,-1.013,1.569,-0.449,0.603,-0.533,0.382,-0.429,0.29,-0.319,0.195
1886,4,-0.353,1.037,-0.435,0.626,-0.528,0.381,-0.434,0.289,-0.322,0.195
1886,5,-0.694,0.831,-0.551,0.636,-0.526,0.389,-0.439,0.286,-0.328,0.195
1886,6,0.239,0.941,-0.688,0.631,-0.515,0.392,-0.446,0.284,-0.331,0.193
1886,7,0.37,0.886,-0.751,0.638,-0.499,0.397,-0.452,0.285,-0.329,0.191
1886,8,-0.512,0.9,-0.735,0.638,-0.467,0.396,-0.461,0.283,-0.331,0.19
1886,9,-0.724,0.844,-0.766,0.599,-0.438,0.387,-0.462,0.282,-0.329,0.19
1886,10,-0.309,1.066,-0.712,0.565,-0.44,0.38,-0.462,0.281,-0.332,0.19
1886,11,-1.783,0.998,-0.749,0.571,-0.412,0.382,-0.461,0.28,-0.333,0.19
1886,12,-1.487,1.025,-0.798,0.566,-0.408,0.378,-0.456,0.281,-0.329,0.192
1887,1,-1.758,1.429,-0.873,0.529,-0.4,0.368,-0.455,0.283,-0.329,0.192
1887,2,-0.798,0.939,-0.911,0.486,-0.407,0.365,-0.446,0.282,-0.333,0.193
1887,3,-1.378,1.059,-0.916,0.499,-0.395,0.365,-0.44,0.278,-0.341,0.192
1887,4,0.294,0.8,-0.847,0.453,-0.384,0.363,-0.433,0.277,-0.346,0.191
1887,5,-1.144,1.014,-0.679,0.452,-0.391,0.367,-0.428,0.278,-0.352,0.19
1887,6,-0.348,1.08,-0.597,0.496,-0.385,0.373,-0.425,0.278,-0.357,0.191
1887,7,-0.522,0.774,-0.485,0.476,-0.382,0.371,-0.42,0.279,-0.361,0.19
1887,8,-0.975,0.791,-0.393,0.485,-0.373,0.364,-0.425,0.277,-0.366,0.189
1887,9,-0.787,0.976,-0.29,0.458,-0.37,0.369,-0.428,0.275,-0.365,0.191
1887,10,0.52,0.974,-0.334,0.473,-0.36,0.356,-0.419,0.273,-0.368,0.193
1887,11,0.235,1.163,-0.301,0.473,-0.383,0.35,-0.412,0.274,-0.372,0.191
1887,12,-0.507,1.253,-0.34,0.484,-0.38,0.342,-0.416,0.268,-0.372,0.189
1888,1,-0.414,1.27,-0.252,0.485,-0.396,0.323,-0.406,0.265,-0.374,0.189
1888,2,0.308,0.979,-0.177,0.542,-0.414,0.31,-0.411,0.263,-0.371,0.191
1888,3,-0.141,0.876,-0.122,0.559,-0.415,0.312,-0.415,0.259,-0.378,0.192
1888,4,-0.237,1.396,-0.116,0.554,-0.413,0.312,-0.418,0.255,-0.381,0.19
1888,5,-0.74,0.847,-0.218,0.564,-0.417,0.318,-0.42,0.251,-0.384,0.19
1888,6,-0.819,0.929,-0.153,0.523,-0.41,0.325,-0.425,0.25,-0.39,0.19
1888,7,0.53,0.799,-0.122,0.534,-0.391,0.321,-0.412,0.254,-0.398,0.191
1888,8,-0.074,1.095,-0.131,0.492,-0.378,0.327,-0.41,0.255,-0.405,0.192
1888,9,-0.129,1.081,-0.043,0.477,-0.374,0.312,-0.414,0.257,-0.409,0.191
1888,10,0.601,0.991,-0.027,0.431,-0.365,0.306,-0.421,0.26,-0.406,0.19
1888,11,-0.997,1.09,0.057,0.441,-0.362,0.307,-0.414,0.26,-0.412,0.189
1888,12,0.28,0.922,0.107,0.433,-0.383,0.307,-0.411,0.262,-0.42,0.187
1889,1,-0.041,0.951,0.059,0.408,-0.395,0.307,-0.407,0.263,-0.428,0.185
1889,2,0.192,0.831,0.017,0.409,-0.393,0.301,-0.402,0.263,-0.43,0.185
1889,3,0.915,0.826,0.038,0.399,-0.381,0.303,-0.404,0.258,-0.43,0.186
1889,4,-0.043,0.912,-0.007,0.405,-0.371,0.298,-0.41,0.255,-0.431,0.185
1889,5,0.263,0.875,-0.059,0.41,-0.345,0.296,-0.402,0.255,-0.431,0.184
1889,6,-0.212,0.899,-0.058,0.414,-0.317,0.304,-0.399,0.254,-0.433,0.185
1889,7,-0.049,1.099,-0.114,0.444,-0.295,0.292,-0.397,0.252,-0.435,0.184
1889,8,-0.571,0.859,-0.13,0.441,-0.292,0.285,-0.404,0.252,-0.436,0.186
1889,9,0.111,1.05,-0.268,0.414,-0.277,0.274,-0.404,0.251,-0.431,0.186
1889,10,0.063,0.835,-0.275,0.39,-0.273,0.275,-0.4,0.251,-0.43,0.185
1889,11,-1.614,0.924,-0.387,0.387,-0.259,0.282,-0.393,0.251,-0.431,0.185
1889,12,0.287,1.194,-0.413,0.386,-0.261,0.279,-0.393,0.251,-0.432,0.183
1890,1,-0.707,1.39,-0.478,0.369,-0.258,0.28,-0.397,0.247,-0.429,0.183
