Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1750,1,-1.981,1.59,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1750,2,-0.118,2.026,-0.455,0.815,NaN,NaN,NaN,NaN,NaN,NaN
1750,3,2.057,2.553,-0.399,0.837,NaN,NaN,NaN,NaN,NaN,NaN
1750,4,0.373,1.284,-0.338,0.831,NaN,NaN,NaN,NaN,NaN,NaN
1750,5,-1.049,1.327,-0.472,0.831,NaN,NaN,NaN,NaN,NaN,NaN
1750,6,0.337,1.384,-0.477,0.853,NaN,NaN,NaN,NaN,NaN,NaN
1750,7,0.516,1.499,-0.451,0.855,NaN,NaN,NaN,NaN,NaN,NaN
1750,8,0.425,1.243,-0.691,0.805,NaN,NaN,NaN,NaN,NaN,NaN
1750,9,-0.18,2.083,-0.792,0.757,NaN,NaN,NaN,NaN,NaN,NaN
1750,10,-1.006,1.215,-0.954,0.742,NaN,NaN,NaN,NaN,NaN,NaN
1750,11,-2.961,1.295,-0.947,0.702,NaN,NaN,NaN,NaN,NaN,NaN
1750,12,-2.136,1.545,-0.999,0.707,NaN,NaN,NaN,NaN,NaN,NaN
1751,1,-1.664,1.654,-0.992,0.654,NaN,NaN,NaN,NaN,NaN,NaN
1751,2,-3.002,1.513,-0.942,0.647,NaN,NaN,NaN,NaN,NaN,NaN
1751,3,0.848,1.292,-0.979,0.628,NaN,NaN,NaN,NaN,NaN,NaN
1751,4,-1.574,1.242,-0.998,0.64,NaN,NaN,NaN,NaN,NaN,NaN
1751,5,-0.965,1.372,-1.011,0.674,NaN,NaN,NaN,NaN,NaN,NaN
1751,6,-0.286,1.429,-1.016,0.714,NaN,NaN,NaN,NaN,NaN,NaN
1751,7,0.598,1.402,-0.945,0.712,NaN,NaN,NaN,NaN,NaN,NaN
1751,8,1.021,1.166,-0.631,0.702,NaN,NaN,NaN,NaN,NaN,NaN
1751,9,-0.625,1.126,-0.707,0.714,NaN,NaN,NaN,NaN,NaN,NaN
1751,10,-1.229,1.363,-0.663,0.68,NaN,NaN,NaN,NaN,NaN,NaN
1751,11,-3.12,1.463,-0.654,0.652,NaN,NaN,NaN,NaN,NaN,NaN
1751,12,-2.199,1.988,-0.464,0.616,NaN,NaN,NaN,NaN,NaN,NaN
1752,1,-0.813,1.622,-0.502,0.632,NaN,NaN,NaN,NaN,NaN,NaN
1752,2,0.77,1.526,-0.66,0.663,NaN,NaN,NaN,NaN,NaN,NaN
1752,3,-0.069,1.241,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,4,-1.038,1.317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1752,5,-0.861,1.302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
