Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1824,1,-0.564,1.551,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1824,2,-0.78,2.723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1824,3,-0.471,1.01,-0.802,0.645,NaN,NaN,NaN,NaN,NaN,NaN
1824,4,0.254,1.408,-0.782,0.619,NaN,NaN,NaN,NaN,NaN,NaN
1824,5,-0.558,1.209,-0.71,0.589,NaN,NaN,NaN,NaN,NaN,NaN
1824,6,-0.354,2.279,-0.633,0.67,NaN,NaN,NaN,NaN,NaN,NaN
1824,7,-0.355,1.815,-0.611,0.608,NaN,NaN,NaN,NaN,NaN,NaN
1824,8,-1.058,1.046,-0.588,0.611,NaN,NaN,NaN,NaN,NaN,NaN
1824,9,-1.012,2.421,-0.538,0.535,NaN,NaN,NaN,NaN,NaN,NaN
1824,10,-1.532,0.69,-0.496,0.546,NaN,NaN,NaN,NaN,NaN,NaN
1824,11,-0.741,0.837,-0.448,0.459,NaN,NaN,NaN,NaN,NaN,NaN
1824,12,-0.421,2.69,-0.41,0.389,NaN,NaN,NaN,NaN,NaN,NaN
1825,1,-0.306,2.002,-0.408,0.416,NaN,NaN,NaN,NaN,NaN,NaN
1825,2,-0.504,1.139,-0.364,0.495,NaN,NaN,NaN,NaN,NaN,NaN
1825,3,0.128,1.523,-0.381,0.461,NaN,NaN,NaN,NaN,NaN,NaN
1825,4,0.761,0.902,-0.347,0.468,-0.641,0.411,NaN,NaN,NaN,NaN
1825,5,0.02,1.48,-0.319,0.495,-0.613,0.411,NaN,NaN,NaN,NaN
1825,6,0.104,1.126,-0.307,0.605,-0.575,0.407,NaN,NaN,NaN,NaN
1825,7,-0.332,2.181,-0.28,0.708,-0.586,0.394,NaN,NaN,NaN,NaN
1825,8,-0.537,2.003,-0.352,0.728,-0.592,0.387,NaN,NaN,NaN,NaN
1825,9,-1.215,1.783,-0.476,0.616,-0.588,0.397,NaN,NaN,NaN,NaN
1825,10,-1.116,1.101,-0.574,0.571,-0.575,0.412,NaN,NaN,NaN,NaN
1825,11,-0.407,2.304,-0.578,0.576,-0.56,0.421,NaN,NaN,NaN,NaN
1825,12,-0.277,1.424,-0.612,0.509,-0.559,0.437,NaN,NaN,NaN,NaN
1826,1,0.013,1.211,-0.621,0.505,-0.562,0.441,NaN,NaN,NaN,NaN
1826,2,-1.36,1.449,-0.663,0.483,-0.551,0.435,NaN,NaN,NaN,NaN
1826,3,-1.369,1.629,-0.681,0.421,-0.549,0.415,NaN,NaN,NaN,NaN
1826,4,-0.418,1.523,-0.683,0.422,-0.531,0.414,NaN,NaN,NaN,NaN
1826,5,-0.018,1.039,-0.646,0.577,-0.506,0.409,NaN,NaN,NaN,NaN
1826,6,-0.306,1.688,-0.58,0.634,-0.498,0.379,NaN,NaN,NaN,NaN
1826,7,-0.439,1.643,-0.574,0.895,-0.504,0.362,NaN,NaN,NaN,NaN
1826,8,-1.045,1.349,-0.491,0.998,-0.51,0.373,NaN,NaN,NaN,NaN
1826,9,-1.435,1.277,-0.372,0.912,-0.506,0.361,NaN,NaN,NaN,NaN
1826,10,-1.14,1.282,-0.295,0.953,-0.513,0.355,NaN,NaN,NaN,NaN
1826,11,0.041,1.674,-0.302,1.007,-0.504,0.359,NaN,NaN,NaN,NaN
1826,12,0.511,1.929,-0.278,0.994,-0.507,0.34,NaN,NaN,NaN,NaN
1827,1,0.091,3.333,-0.268,1.038,-0.509,0.33,NaN,NaN,NaN,NaN
1827,2,-0.363,2.494,-0.269,1.126,-0.506,0.332,NaN,NaN,NaN,NaN
1827,3,0.063,1.757,-0.253,1.173,-0.51,0.315,NaN,NaN,NaN,NaN
1827,4,0.504,2.185,-0.266,1.287,-0.496,0.323,NaN,NaN,NaN,NaN
1827,5,-0.106,1.61,-0.277,1.24,-0.495,0.317,NaN,NaN,NaN,NaN
1827,6,NaN,NaN,-0.36,1.086,-0.498,0.3,NaN,NaN,NaN,NaN
1827,7,-0.319,1.292,-0.487,0.788,-0.482,0.315,NaN,NaN,NaN,NaN
1827,8,-1.057,1.952,-0.576,0.676,-0.458,0.327,NaN,NaN,NaN,NaN
1827,9,-1.252,1.42,-0.614,0.789,-0.476,0.337,NaN,NaN,NaN,NaN
1827,10,-1.295,1.831,-0.66,0.79,-0.484,0.341,NaN,NaN,NaN,NaN
1827,11,-0.084,0.933,-0.658,0.769,-0.507,0.362,NaN,NaN,NaN,NaN
1827,12,-0.492,1.751,-0.654,0.851,-0.52,0.371,NaN,NaN,NaN,NaN
1828,1,-1.423,1.451,-0.654,0.832,-0.511,0.386,NaN,NaN,NaN,NaN
1828,2,-1.439,1.694,-0.602,0.716,-0.512,0.393,NaN,NaN,NaN,NaN
1828,3,-0.387,1.512,-0.625,0.658,-0.519,0.397,NaN,NaN,NaN,NaN
1828,4,-0.05,2.102,-0.574,0.581,-0.52,0.409,NaN,NaN,NaN,NaN
1828,5,-0.083,1.434,-0.577,0.571,-0.492,0.425,NaN,NaN,NaN,NaN
1828,6,0.034,1.636,-0.611,0.67,-0.472,0.428,NaN,NaN,NaN,NaN
