Year,Month,Monthly,Monthly_Unc,Annual,Annual_Unc,Five-year,Five_year_Unc,Ten-year,Ten_year_Unc,Twenty-year,Twenty_year_Unc
1889,4,0.165,0.886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,5,0.485,0.862,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,6,0.488,0.873,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,7,0.518,0.997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,8,0.07,0.943,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1889,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,4,-0.975,0.836,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,7,-0.733,1.079,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,8,-0.401,0.901,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1890,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,4,-0.304,1.252,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,5,-0.6,0.889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,6,-0.538,1.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,7,0.168,1.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,8,-0.478,1.103,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1891,12,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1892,1,-0.91,1.444,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1892,2,-0.831,0.719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1892,3,-0.414,1.185,-0.488,0.53,NaN,NaN,NaN,NaN,NaN,NaN
1892,4,-0.908,0.947,-0.438,0.551,NaN,NaN,NaN,NaN,NaN,NaN
1892,5,-0.244,0.989,-0.401,0.592,NaN,NaN,NaN,NaN,NaN,NaN
1892,6,0.013,1.525,-0.4,0.631,NaN,NaN,NaN,NaN,NaN,NaN
1892,7,-0.312,1.087,-0.445,0.651,-0.519,0.281,NaN,NaN,NaN,NaN
1892,8,-0.665,0.858,-0.477,0.685,-0.521,0.287,NaN,NaN,NaN,NaN
1892,9,0.299,1.279,-0.488,0.65,-0.508,0.291,NaN,NaN,NaN,NaN
1892,10,-0.169,0.986,-0.431,0.622,-0.5,0.29,NaN,NaN,NaN,NaN
1892,11,-0.151,0.978,-0.458,0.615,-0.482,0.292,NaN,NaN,NaN,NaN
1892,12,-0.51,1.223,-0.475,0.609,-0.48,0.291,NaN,NaN,NaN,NaN
1893,1,-1.455,1.205,-0.459,0.593,-0.463,0.295,NaN,NaN,NaN,NaN
1893,2,-1.203,0.889,-0.402,0.671,-0.452,0.3,NaN,NaN,NaN,NaN
